job_title,job_level,skills,programming_languages,experience_years,experience_role
Developer,Junior,"Problem Solving, Teamwork, Communication","Python, JavaScript",0,None
Developer,Mid,"Problem Solving, Teamwork, Communication, Creativity","Python, JavaScript, Java",2,Developer
Developer,Senior,"Problem Solving, Teamwork, Communication, Creativity, Work Ethic","Python, Java, C++",7,Developer
Data Engineer,Junior,"Problem Solving, Teamwork, Communication","Python, SQL",0,None
Data Engineer,Mid,"Problem Solving, Teamwork, Communication, Adaptability","Python, SQL, R",2,Data Engineer
Data Engineer,Senior,"Problem Solving, Teamwork, Communication, Adaptability, Creativity","Python, SQL, R, AWS",7,Data Engineer
AI Specialist,Junior,"Problem Solving, Teamwork, Communication","Python, TensorFlow",0,None
AI Specialist,Mid,"Problem Solving, Teamwork, Communication, Creativity","Python, TensorFlow, Keras",2,AI Specialist
AI Specialist,Senior,"Problem Solving, Teamwork, Communication, Creativity, Work Ethic","Python, TensorFlow, Keras, PyTorch",7,AI Specialist
Network Engineer,Junior,"Problem Solving, Teamwork, Communication","Python, Java",0,None
Network Engineer,Mid,"Problem Solving, Teamwork, Communication, Adaptability","Python, Java, C#",2,Network Engineer
Network Engineer,Senior,"Problem Solving, Teamwork, Communication, Adaptability, Creativity","Python, Java, C#, AWS",7,Network Engineer
Software Engineer,Mid,"Problem Solving, Teamwork, Communication","Python, Java, C++",2,Developer
Software Engineer,Senior,"Problem Solving, Teamwork, Communication, Creativity","Python, Java, C++",5,Software Engineer
Data Analyst,Mid,"Problem Solving, Teamwork, Communication","Python, R, SQL",2,"Developer, Data Engineer, AI Specialist"
Data Analyst,Senior,"Problem Solving, Teamwork, Communication, Adaptability","Python, R, SQL",5,Data Analyst
Data Scientist,Mid,"Problem Solving, Teamwork, Communication","Python, R, SQL",2,"Data Engineer, AI Specialist"
Data Scientist,Senior,"Problem Solving, Teamwork, Communication, Adaptability","Python, R, SQL, TensorFlow",5,Data Scientist
AI Research Scientist,Mid,"Problem Solving, Teamwork, Communication","Python, TensorFlow, PyTorch",2,AI Specialist
AI Research Scientist,Senior,"Problem Solving, Teamwork, Communication, Creativity","Python, TensorFlow, PyTorch, Keras",5,AI Research Scientist
System Administrator,Mid,"Problem Solving, Teamwork, Communication","Python, Bash, PowerShell",2,Network Engineer
System Administrator,Senior,"Problem Solving, Teamwork, Communication, Adaptability","Python, Bash, PowerShell, AWS",5,System Administrator
Network Architect,Mid,"Problem Solving, Teamwork, Communication","Python, Java, C#",2,Network Engineer
Network Architect,Senior,"Problem Solving, Teamwork, Communication, Creativity","Python, Java, C#, AWS",5,Network Architect
Machine Learning Engineer,Mid,"Problem Solving, Teamwork, Communication","Python, TensorFlow, R",2,"AI Specialist, Data Engineer"
Machine Learning Engineer,Senior,"Problem Solving, Teamwork, Communication, Creativity","Python, TensorFlow, Keras",5,Machine Learning Engineer
Computer Vision Engineer,Mid,"Problem Solving, Teamwork, Communication","Python, OpenCV, TensorFlow",2,AI Specialist
Computer Vision Engineer,Senior,"Problem Solving, Teamwork, Communication, Adaptability","Python, OpenCV, TensorFlow, Keras",5,Computer Vision Engineer
Natural Language Processing Engineer,Mid,"Problem Solving, Teamwork, Communication","Python, NLTK, TensorFlow",2,AI Specialist
Natural Language Processing Engineer,Senior,"Problem Solving, Teamwork, Communication, Creativity","Python, NLTK, TensorFlow, Keras",5,Natural Language Processing Engineer
Robotics Engineer,Mid,"Problem Solving, Teamwork, Communication","Python, C++, ROS",2,AI Specialist
Robotics Engineer,Senior,"Problem Solving, Teamwork, Communication, Adaptability","Python, C++, ROS, TensorFlow",5,AI Specialist
IT Support Specialist,Mid,"Problem Solving, Teamwork, Communication","Python, Bash, PowerShell",2,"Network Engineer, Developer"
IT Support Specialist,Senior,"Problem Solving, Teamwork, Communication, Creativity","Python, Bash, PowerShell, AWS",5,IT Support Specialist
Cybersecurity Analyst,Mid,"Problem Solving, Teamwork, Communication","Python, Java, C++",2,Network Engineer
Cybersecurity Analyst,Senior,"Problem Solving, Teamwork, Communication, Adaptability","Python, Java, C++, AWS",5,Cybersecurity Analyst
Cloud Solutions Architect,Mid,"Problem Solving, Teamwork, Communication","Python, AWS, Azure",2,Network Engineer
Cloud Solutions Architect,Senior,"Problem Solving, Teamwork, Communication, Creativity","Python, AWS, Azure, GCP",5,Cloud Solutions Architect
